,RandomForest,XGBoost,CatBoost
S2_B11_m02,0.0006815280946520098,0.0,0.9947355093208976
S2_B11_m03,0.0016722527485688939,0.0023889265,0.22516289802165018
S2_B11_m04,0.0005938040075673406,0.0,0.07581588964549651
S2_B11_m05,0.0010005109636858586,0.0,0.15153793155947048
S2_B11_m06,0.0005718433479074784,0.0017041193,0.4292232309881212
S2_B11_m07,0.000546701903514464,0.0001973845,0.2858749937067728
S2_B11_m08,0.0010975124277250374,0.0,0.09401893715235966
S2_B11_m09,0.00010465393280886969,0.005516187,0.10388177954528337
S2_B11_m10,0.0006115599108616752,0.0,0.07082497120418843
S2_B11_m11,0.0006239774629818745,0.0015537287,0.11713200239245623
S2_B11_m12,0.00038395996542879703,0.0036463325,0.5277801876070883
S2_B12_m01,0.00034153201781636977,0.0008338871,0.0
S2_B12_m02,0.0006636729769714022,0.0,0.0
S2_B12_m03,0.0002916932626558321,0.0013584312,0.02320784842672266
S2_B12_m04,0.0004363803295332871,0.0003546716,0.0
S2_B12_m05,0.0008903905626319675,0.0,0.0
S2_B12_m06,0.00038600943197443407,0.0,0.03414106595593712
S2_B12_m07,0.003440042553288542,0.0,0.5587713390900932
S2_B12_m08,0.003235687505532428,0.0014136985,0.15017691859777224
S2_B12_m09,0.002658830009623381,0.00033406966,0.08485364988482487
S2_B12_m10,0.0005997369416111156,0.00037054534,0.14542120363679695
S2_B12_m11,0.0008116424431623487,0.0004965434,0.19552002445545588
S2_B12_m12,0.0005364447602631448,0.0018727054,0.01516894550522581
S2_B2_m01,0.00040695853740689347,0.0014656526,0.15488656456326613
S2_B2_m02,0.0003485394188263858,0.0,0.0
S2_B2_m03,0.0011185106241356816,0.0,0.1782114899319929
S2_B2_m04,0.0022375566213248205,0.0022909746,0.9427252342789247
S2_B2_m05,0.002634427048576729,0.0023181057,0.06666998468806186
S2_B2_m06,0.00030507516143668756,0.0009726249,0.0
S2_B2_m07,0.0004058080329450152,0.0,0.12224350096898139
S2_B2_m08,0.00043666935041659205,0.000103839564,0.16083899327040208
S2_B2_m09,0.00030109155587343416,0.00012966424,0.006526014470743551
S2_B2_m10,0.0021519648567751588,0.0,0.6167117672094276
S2_B2_m11,0.0009282083037854534,0.001284378,0.0011328306352126256
S2_B2_m12,0.0017740617953717998,0.0,0.0
S2_B3_m01,0.00042951805877773316,0.0005377234,0.016630536230808013
S2_B3_m02,0.0003006214037887111,0.0,0.14236635669444483
S2_B3_m03,0.0005335654622830876,0.0,0.009804227360988755
S2_B3_m04,0.001967698177501557,0.0,0.3793268068794905
S2_B3_m05,0.0005041898537693099,0.0,0.2441546168393078
S2_B3_m06,0.00014801192700971688,0.0,0.026861968308535742
S2_B3_m07,0.0004323385951048374,0.0002715441,0.0
S2_B3_m08,0.0007818694870148229,0.0,0.0
S2_B3_m09,0.0002622431816364125,0.0,0.37222051252513605
S2_B3_m10,0.0004966842267776001,0.0004504964,0.4392200926642047
S2_B3_m11,0.000685900795399555,0.0016475308,0.0895477345480361
S2_B3_m12,0.0008277482606954874,0.0,0.06803822981891798
S2_B4_m01,0.0007193458925188524,0.0042759744,0.4444133876469305
S2_B4_m02,0.00046187607580842427,0.0,0.6887481212078423
S2_B4_m03,0.0008471868786175223,0.0,0.0
S2_B4_m04,0.002900542215735087,0.002656191,0.7175841246193374
S2_B4_m05,0.0018547175612521286,0.00047796732,0.025834799512713908
S2_B4_m06,0.0005293296135407531,0.0017096713,0.0
S2_B4_m07,0.002634879256518142,0.0,0.2850658653765089
S2_B4_m08,0.0007353590658784961,0.0,0.07639671239856358
S2_B4_m09,0.0006551086831430986,0.0,0.2790007131153463
S2_B4_m10,0.0023649080694804134,0.0028978935,0.30294080412124946
S2_B4_m11,0.0009804367129015313,0.0004316307,0.07625582523130345
S2_B4_m12,0.0005311187827031072,0.00038124368,0.07176451178338544
S2_B5_m01,0.0003073084216026759,0.0,0.05627265045933806
S2_B5_m02,0.0005892336455417629,0.0010087978,0.30501362270015964
S2_B5_m03,0.0007175883410135605,0.0,0.0
S2_B5_m04,0.0025847488686648427,0.00081411516,0.0
S2_B5_m05,0.0018757447258896053,0.0,0.1062377656018635
S2_B5_m06,0.0001859429621213448,0.0005236839,0.0072829728981394035
S2_B5_m07,0.0007669574526795086,0.0002938423,0.35113480511816264
S2_B5_m08,0.00033880049157927397,5.0624923e-05,0.38886538392512227
S2_B5_m09,0.00032593941413860283,0.0020314066,0.013807536227957204
S2_B5_m10,0.0002701496672780883,0.00019229733,0.20090359419600187
S2_B5_m11,0.00036771921964289645,0.0,0.07545106792844664
S2_B5_m12,0.00030868147793050035,0.0011033032,0.4921529548508978
S2_B6_m01,0.0005731406350869591,0.0,0.0
S2_B6_m02,0.00010645781832259705,5.853806e-06,0.0
S2_B6_m03,0.0004968840382274165,0.00021708898,0.3404784810601471
S2_B6_m04,0.0003502526849465241,0.0,0.0
S2_B6_m05,0.0008152489414125574,0.0023514922,0.0
S2_B6_m06,0.0008422424961169962,0.00021498547,0.30331471567652735
S2_B6_m07,0.0027912363522587524,0.0015757171,0.0945683890873896
S2_B6_m08,0.0005329418365904383,0.00084300496,0.008671611876434582
S2_B6_m09,0.0018125743191023313,0.001423508,0.581116545556793
S2_B6_m10,0.0016603970909544814,0.0026314561,0.06514432958991037
S2_B6_m11,0.00040297623417197433,0.0,0.416839776267753
S2_B6_m12,0.000299543531644585,0.0,0.16752562386297187
S2_B7_m01,0.0005501134769857134,0.0007126623,0.02917224000638978
S2_B7_m02,0.00022773826073005664,0.00016083186,0.0
S2_B7_m03,0.00026681595289912137,0.0,0.02107648400314595
S2_B7_m04,8.3167728198228e-05,0.0038873511,0.0
S2_B7_m05,0.0004564411780560538,0.0024982924,0.065348701780589
S2_B7_m06,0.0022079275473364346,0.00035429202,0.09913622678832439
S2_B7_m07,0.004696780383809294,0.0,0.08484155896564902
S2_B7_m08,0.000594545578859665,0.0,0.0
S2_B7_m09,0.011838122608154228,0.0012355233,0.5688560149933498
S2_B7_m10,0.0016031044206760757,0.003298542,0.009663992953720557
S2_B7_m11,0.0003288558484063352,0.0,0.007599216494962598
S2_B7_m12,0.0003903189209134502,0.00038453846,0.22834153765319373
S2_B8A_m01,0.0004388868374687055,0.00074190524,0.017305385078590658
S2_B8A_m02,0.0006211120131195872,0.00057036255,0.0
S2_B8A_m03,0.0003509455497608832,0.0017021701,0.06324342924954982
S2_B8A_m04,0.0001493647796651046,0.0,0.06777889795190559
S2_B8A_m05,0.0004804250360926051,0.003870102,0.0
S2_B8A_m06,0.001972625482324588,0.00013082256,0.35863518550732854
S2_B8A_m07,0.0038803212222456103,0.00033342434,0.2667453245333531
S2_B8A_m08,0.0016848975513772734,6.7660294e-05,0.0
S2_B8A_m09,0.01062576921759124,0.0,0.31635759895642196
S2_B8A_m10,0.0032361058555214674,0.0017712419,0.542130362367728
S2_B8A_m11,0.00021403166154021537,0.0,0.045051252487894995
S2_B8A_m12,0.00026106517943063734,0.0,0.0
S2_B8_m01,0.0003379515138826476,0.0,0.3654669718720675
